task,task_type,stage,process,num_trials,raw_score,percent_score
borb_orientation,yes_no,low,simple_element_judgements,30,18,0.6
borb_line_length_comparison,same_different,low,simple_element_judgements,30,20,0.6666666666666666
borb_size_comparison,same_different,low,simple_element_judgements,30,16,0.5333333333333333
borb_position_of_gap,same_different,low,simple_element_judgements,40,20,0.5
mindset_weber_law,same_different,low,simple_element_judgements,40,32,0.8
borb_overlapped_letters,naming,mid,occlusion_and_overlap,36,15,0.4166666666666667
borb_overlapped_shapes,naming,mid,occlusion_and_overlap,36,6,0.16666666666666666
left_embedded_figures,match_to_sample,mid,figure_judgement,64,46,0.71875
mindset_2D_transformations,naming,mid,view_invariance,70,40,0.5714285714285714
mindset_NAP_vs_MP_2D_lines,match_to_sample,mid,property_biases,26,19,0.7307692307692307
mindset_NAP_vs_MP_3D_geons,match_to_sample,mid,property_biases,22,20,0.9090909090909091
mindset_amodal_completion,match_to_sample,mid,property_biases,30,1,0.03333333333333333
mindset_decomposition,match_to_sample,mid,property_biases,30,28,0.9333333333333333
mindset_dotted_linedrawings,naming,mid,straightforward_visual_recognition,36,25,0.6944444444444444
mindset_geometric_elements_comparison,same_different,mid,figure_judgement,60,44,0.7333333333333333
mindset_global_change_linedrawings_fragmented,naming,mid,robustness_across_different_configurations,36,24,0.6666666666666666
mindset_global_change_linedrawings_frankenstein,naming,mid,robustness_across_different_configurations,36,29,0.8055555555555556
mindset_global_change_silhouettes_fragmented,naming,mid,robustness_across_different_configurations,36,12,0.3333333333333333
mindset_global_change_silhouettes_frankenstein,naming,mid,robustness_across_different_configurations,36,27,0.75
mindset_relational_vs_coordinate,match_to_sample,mid,property_biases,6,4,0.6666666666666666
mindset_segmented_images,naming,mid,robustness_across_image_cues,72,61,0.8472222222222222
mindset_texturized_blobs,match_to_sample,mid,robustness_across_image_cues,20,12,0.6
mindset_texturized_linedrawings_chars,naming,mid,robustness_across_image_cues,32,10,0.3125
mindset_texturized_linedrawings_lines,naming,mid,robustness_across_image_cues,32,19,0.59375
borb_triplet_letters,naming,high,straightforward_visual_recognition,36,33,0.9166666666666666
borb_triplet_shapes,naming,high,straightforward_visual_recognition,36,31,0.8611111111111112
mindset_global_change_linedrawings_original,naming,high,straightforward_visual_recognition,36,31,0.8611111111111112
mindset_global_change_silhouettes_original,naming,high,straightforward_visual_recognition,36,31,0.8611111111111112
mindset_linedrawings,naming,high,straightforward_visual_recognition,36,33,0.9166666666666666
mindset_silhouettes,naming,high,straightforward_visual_recognition,32,27,0.84375
mindset_viewpoint_invariance,match_to_sample,high,viewpoint_invariance,32,25,0.78125
