task,task_type,stage,process,num_trials,raw_score,percent_score
borb_orientation,yes_no,low,simple_element_judgements,30,18,0.6
borb_line_length_comparison,same_different,low,simple_element_judgements,30,15,0.5
borb_size_comparison,same_different,low,simple_element_judgements,30,16,0.5333333333333333
borb_position_of_gap,same_different,low,simple_element_judgements,40,20,0.5
mindset_weber_law,same_different,low,simple_element_judgements,40,24,0.6
borb_overlapped_letters,naming,mid,occlusion_and_overlap,36,22,0.6111111111111112
borb_overlapped_shapes,naming,mid,occlusion_and_overlap,36,24,0.6666666666666666
left_embedded_figures,match_to_sample,mid,figure_judgement,64,49,0.765625
mindset_2D_transformations,naming,mid,view_invariance,70,48,0.6857142857142857
mindset_NAP_vs_MP_2D_lines,match_to_sample,mid,property_biases,26,22,0.8461538461538461
mindset_NAP_vs_MP_3D_geons,match_to_sample,mid,property_biases,22,22,1.0
mindset_amodal_completion,match_to_sample,mid,property_biases,30,2,0.06666666666666667
mindset_decomposition,match_to_sample,mid,property_biases,30,28,0.9333333333333333
mindset_dotted_linedrawings,naming,mid,straightforward_visual_recognition,36,23,0.6388888888888888
mindset_geometric_elements_comparison,same_different,mid,figure_judgement,60,47,0.7833333333333333
mindset_global_change_linedrawings_fragmented,naming,mid,robustness_across_different_configurations,36,23,0.6388888888888888
mindset_global_change_linedrawings_frankenstein,naming,mid,robustness_across_different_configurations,36,29,0.8055555555555556
mindset_global_change_silhouettes_fragmented,naming,mid,robustness_across_different_configurations,36,14,0.3888888888888889
mindset_global_change_silhouettes_frankenstein,naming,mid,robustness_across_different_configurations,36,24,0.6666666666666666
mindset_relational_vs_coordinate,match_to_sample,mid,property_biases,6,4,0.6666666666666666
mindset_segmented_images,naming,mid,robustness_across_image_cues,72,58,0.8055555555555556
mindset_texturized_blobs,match_to_sample,mid,robustness_across_image_cues,20,14,0.7
mindset_texturized_linedrawings_chars,naming,mid,robustness_across_image_cues,32,9,0.28125
mindset_texturized_linedrawings_lines,naming,mid,robustness_across_image_cues,32,16,0.5
borb_triplet_letters,naming,high,straightforward_visual_recognition,36,36,1.0
borb_triplet_shapes,naming,high,straightforward_visual_recognition,36,35,0.9722222222222222
mindset_global_change_linedrawings_original,naming,high,straightforward_visual_recognition,36,32,0.8888888888888888
mindset_global_change_silhouettes_original,naming,high,straightforward_visual_recognition,36,30,0.8333333333333334
mindset_linedrawings,naming,high,straightforward_visual_recognition,36,36,1.0
mindset_silhouettes,naming,high,straightforward_visual_recognition,32,26,0.8125
mindset_viewpoint_invariance,match_to_sample,high,viewpoint_invariance,32,29,0.90625
