task,task_type,stage,process,num_trials,raw_score,percent_score
borb_orientation,yes_no,low,simple_element_judgements,30,18,0.6
borb_line_length_comparison,same_different,low,simple_element_judgements,30,21,0.7
borb_size_comparison,same_different,low,simple_element_judgements,30,15,0.5
borb_position_of_gap,same_different,low,simple_element_judgements,40,21,0.525
mindset_weber_law,same_different,low,simple_element_judgements,40,34,0.85
borb_overlapped_letters,naming,mid,occlusion_and_overlap,36,2,0.05555555555555555
borb_overlapped_shapes,naming,mid,occlusion_and_overlap,36,11,0.3055555555555556
left_embedded_figures,match_to_sample,mid,figure_judgement,64,48,0.75
mindset_2D_transformations,naming,mid,view_invariance,70,38,0.5428571428571428
mindset_NAP_vs_MP_2D_lines,match_to_sample,mid,property_biases,26,20,0.7692307692307693
mindset_NAP_vs_MP_3D_geons,match_to_sample,mid,property_biases,22,18,0.8181818181818182
mindset_amodal_completion,match_to_sample,mid,property_biases,30,1,0.03333333333333333
mindset_decomposition,match_to_sample,mid,property_biases,30,27,0.9
mindset_dotted_linedrawings,naming,mid,straightforward_visual_recognition,36,25,0.6944444444444444
mindset_geometric_elements_comparison,same_different,mid,figure_judgement,60,47,0.7833333333333333
mindset_global_change_linedrawings_fragmented,naming,mid,robustness_across_different_configurations,36,21,0.5833333333333334
mindset_global_change_linedrawings_frankenstein,naming,mid,robustness_across_different_configurations,36,24,0.6666666666666666
mindset_global_change_silhouettes_fragmented,naming,mid,robustness_across_different_configurations,36,10,0.2777777777777778
mindset_global_change_silhouettes_frankenstein,naming,mid,robustness_across_different_configurations,36,26,0.7222222222222222
mindset_relational_vs_coordinate,match_to_sample,mid,property_biases,6,4,0.6666666666666666
mindset_segmented_images,naming,mid,robustness_across_image_cues,72,58,0.8055555555555556
mindset_texturized_blobs,match_to_sample,mid,robustness_across_image_cues,20,15,0.75
mindset_texturized_linedrawings_chars,naming,mid,robustness_across_image_cues,32,14,0.4375
mindset_texturized_linedrawings_lines,naming,mid,robustness_across_image_cues,32,20,0.625
borb_triplet_letters,naming,high,straightforward_visual_recognition,36,28,0.7777777777777778
borb_triplet_shapes,naming,high,straightforward_visual_recognition,36,32,0.8888888888888888
mindset_global_change_linedrawings_original,naming,high,straightforward_visual_recognition,36,29,0.8055555555555556
mindset_global_change_silhouettes_original,naming,high,straightforward_visual_recognition,36,30,0.8333333333333334
mindset_linedrawings,naming,high,straightforward_visual_recognition,36,31,0.8611111111111112
mindset_silhouettes,naming,high,straightforward_visual_recognition,32,27,0.84375
mindset_viewpoint_invariance,match_to_sample,high,viewpoint_invariance,32,31,0.96875
