task,task_type,stage,process,num_trials,raw_score,percent_score
borb_orientation,yes_no,low,simple_element_judgements,30,16,0.5333333333333333
borb_line_length_comparison,same_different,low,simple_element_judgements,30,18,0.6
borb_size_comparison,same_different,low,simple_element_judgements,30,16,0.5333333333333333
borb_position_of_gap,same_different,low,simple_element_judgements,40,26,0.65
mindset_weber_law,same_different,low,simple_element_judgements,40,34,0.85
borb_overlapped_letters,naming,mid,occlusion_and_overlap,36,3,0.08333333333333333
borb_overlapped_shapes,naming,mid,occlusion_and_overlap,36,9,0.25
left_embedded_figures,match_to_sample,mid,figure_judgement,64,48,0.75
mindset_2D_transformations,naming,mid,view_invariance,70,32,0.45714285714285713
mindset_NAP_vs_MP_2D_lines,match_to_sample,mid,property_biases,26,20,0.7692307692307693
mindset_NAP_vs_MP_3D_geons,match_to_sample,mid,property_biases,22,18,0.8181818181818182
mindset_amodal_completion,match_to_sample,mid,property_biases,30,28,0.9333333333333333
mindset_decomposition,match_to_sample,mid,property_biases,30,27,0.9
mindset_dotted_linedrawings,naming,mid,straightforward_visual_recognition,36,22,0.6111111111111112
mindset_geometric_elements_comparison,same_different,mid,figure_judgement,60,38,0.6333333333333333
mindset_global_change_linedrawings_fragmented,naming,mid,robustness_across_different_configurations,36,18,0.5
mindset_global_change_linedrawings_frankenstein,naming,mid,robustness_across_different_configurations,36,24,0.6666666666666666
mindset_global_change_silhouettes_fragmented,naming,mid,robustness_across_different_configurations,36,9,0.25
mindset_global_change_silhouettes_frankenstein,naming,mid,robustness_across_different_configurations,36,22,0.6111111111111112
mindset_relational_vs_coordinate,match_to_sample,mid,property_biases,6,3,0.5
mindset_segmented_images,naming,mid,robustness_across_image_cues,72,59,0.8194444444444444
mindset_texturized_blobs,match_to_sample,mid,robustness_across_image_cues,20,9,0.45
mindset_texturized_linedrawings_chars,naming,mid,robustness_across_image_cues,32,10,0.3125
mindset_texturized_linedrawings_lines,naming,mid,robustness_across_image_cues,32,19,0.59375
borb_triplet_letters,naming,high,straightforward_visual_recognition,36,30,0.8333333333333334
borb_triplet_shapes,naming,high,straightforward_visual_recognition,36,32,0.8888888888888888
mindset_global_change_linedrawings_original,naming,high,straightforward_visual_recognition,36,26,0.7222222222222222
mindset_global_change_silhouettes_original,naming,high,straightforward_visual_recognition,36,28,0.7777777777777778
mindset_linedrawings,naming,high,straightforward_visual_recognition,36,32,0.8888888888888888
mindset_silhouettes,naming,high,straightforward_visual_recognition,32,27,0.84375
mindset_viewpoint_invariance,match_to_sample,high,viewpoint_invariance,32,23,0.71875
